,A.0_ID flood wave shape,A.1_Bmax,A.1_Brate,A.1_pfail,A.2_Bmax,A.2_Brate,A.2_pfail,A.3_Bmax,A.3_Brate,A.3_pfail,A.4_Bmax,A.4_Brate,A.4_pfail,A.5_Bmax,A.5_Brate,A.5_pfail,discount rate 0,discount rate 1,discount rate 2,0_RfR 0,0_RfR 1,0_RfR 2,1_RfR 0,1_RfR 1,1_RfR 2,2_RfR 0,2_RfR 1,2_RfR 2,3_RfR 0,3_RfR 1,3_RfR 2,4_RfR 0,4_RfR 1,4_RfR 2,EWS_DaysToThreat,A.1_DikeIncrease 0,A.1_DikeIncrease 1,A.1_DikeIncrease 2,A.2_DikeIncrease 0,A.2_DikeIncrease 1,A.2_DikeIncrease 2,A.3_DikeIncrease 0,A.3_DikeIncrease 1,A.3_DikeIncrease 2,A.4_DikeIncrease 0,A.4_DikeIncrease 1,A.4_DikeIncrease 2,A.5_DikeIncrease 0,A.5_DikeIncrease 1,A.5_DikeIncrease 2,scenario,policy,model
44,55,61.629497621481704,1.0,0.8618035262499223,268.9174847868906,1.5,0.7210055284729562,113.86254857615425,10.0,0.9321578884514273,60.38462042891547,1.5,0.23147638314538474,311.90167879196895,10.0,0.8805692944273266,1.5,1.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,44,0,dikesnet
45,72,333.92323142784085,1.5,0.862691709171505,278.03345331301307,1.0,0.6236095455177989,148.15250052929002,1.5,0.08963460606689579,104.49623419567602,1.5,0.6090391277971049,271.6309210063278,1.5,0.9297136124713922,4.5,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,45,0,dikesnet
46,118,230.39296530929755,10.0,0.47608878912125835,313.533718172166,10.0,0.6483269786153343,150.97098002141507,1.5,0.6945499338941596,212.2517073412072,1.0,0.9094241407088303,44.714822704857475,1.5,0.05504003244303925,1.5,3.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,46,0,dikesnet
47,127,213.4384157310028,1.0,0.6046191153446413,56.5622841732743,1.0,0.9281978214389741,217.11664450713403,1.5,0.8667598722936642,144.25800236876805,10.0,0.4674727048503838,78.2039911198804,10.0,0.7385249550947162,4.5,4.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,47,0,dikesnet
48,13,122.43209232401907,1.0,0.059072063859421535,263.64401062645044,1.0,0.5272336711309736,264.2147406180311,1.5,0.15550927480072263,178.6541784178337,10.0,0.3550354574053703,341.52591426173194,10.0,0.7355406161041089,1.5,4.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,48,0,dikesnet
49,69,188.2173518125393,1.0,0.3738748218712493,63.2980101989184,10.0,0.693160092334625,108.23578208406494,10.0,0.03433118501130649,261.10568194732576,1.5,0.7533121743143202,77.62854754200784,1.0,0.4889658218644884,2.5,3.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,49,0,dikesnet
50,131,34.45175192628862,10.0,0.38644970969379483,250.02740865879412,1.5,0.9554905255133782,175.75192963427742,10.0,0.8880241810481164,252.61662765828214,1.5,0.26118000460659413,243.52506203068518,1.5,0.9109767732182728,2.5,3.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,50,0,dikesnet
51,24,56.09268604502702,1.5,0.11685519847764396,70.03641873787822,1.5,0.41833358367669854,89.9222067028482,1.5,0.02952570959110875,227.96186715252009,10.0,0.8123693275175131,238.04035492481245,10.0,0.8675653342164834,1.5,3.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,51,0,dikesnet
52,60,202.1059854780189,10.0,0.08654604085405392,113.53326559785641,1.5,0.07025283942868209,180.47471055136984,1.0,0.7207461890840887,139.29703652466407,1.0,0.8586158895833543,214.0014803154176,1.5,0.6391433076064224,4.5,1.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,52,0,dikesnet
53,100,194.66271166871948,1.0,0.6713260406768905,313.2174364534928,10.0,0.7078664407722594,213.28994706399072,1.5,0.748641000813602,35.523605593528615,1.5,0.7390362729071048,347.0105475614695,1.5,0.6229221308739099,3.5,1.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,53,0,dikesnet
54,130,231.57567394730137,10.0,0.22829230529617509,134.82339657624192,1.5,0.5307171926121398,333.8331878726416,1.5,0.01806527141331249,171.1136095909638,1.0,0.013739982159503858,193.29608260554036,1.5,0.23646034427277546,3.5,2.5,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,54,0,dikesnet
55,7,224.94936422365765,10.0,0.3801307469727256,97.78688481279684,10.0,0.7947114462534107,111.48772462433223,1.5,0.7830834801742284,71.8325051408998,1.5,0.7900248401473503,88.31394103123061,1.5,0.08539175027905316,2.5,1.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,55,0,dikesnet
56,31,176.26554903233318,1.0,0.9983107718942453,158.9276624243311,1.5,0.5917106048893348,34.237748548149575,1.0,0.24852565513221792,196.49735536107042,1.5,0.229787632968248,254.08312505490326,1.0,0.14741846075888423,3.5,2.5,1.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,56,0,dikesnet
57,17,217.7054647079296,1.0,0.8081001649572939,224.42718174740423,1.5,0.17479745801397265,126.93293295440887,10.0,0.33506375813477546,230.44501363888887,1.0,0.2848376229502317,153.92316362735474,1.0,0.20071290704150174,4.5,2.5,4.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,57,0,dikesnet
58,50,200.81432749367036,10.0,0.3320039500814328,235.31129644078877,10.0,0.030360644975659552,286.02923584169156,1.0,0.5280763137155218,299.93071103707354,1.5,0.382435626744853,99.34672843340879,1.5,0.8846427592182087,2.5,3.5,2.5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,3,0,0,5,0,0,3,0,0,6,0,0,58,0,dikesnet
